弹幕id,弹幕所处位置,弹幕发送时间,弹幕内容,态度,得分
A1150941908906850304,23:33,2022-09-27 23:56:07,用家用的思维来想啊 谁天天跑赛道,积极,0.8563168048858643
A1150941909553178624,32:01,2022-09-27 23:56:07,讲粤语自动倍速,积极,0.9817103743553162
A1150941903253275136,14:04,2022-09-27 23:56:06,膝头哥,积极,0.755329966545105
A1150941892348013824,25:15,2022-09-27 23:56:05,广州除了日系车还有其他的？我不信,消极,0.8590664863586426
A1150941849784135680,00:27,2022-09-27 23:56:00,毛豆是3现在销量很差了,消极,0.985995352268219
A1150941746990159872,02:12,2022-09-27 23:55:47,高情商，未来,积极,0.991181492805481
A1150941521127054336,10:20,2022-09-27 23:55:21,这融合的很好很协调啊，哪里过猛了,积极,0.9849454164505005
A1150941308047773184,01:28,2022-09-27 23:54:55,绝壁放弃特斯拉,消极,0.9088742733001709
A1150941045224485376,01:57,2022-09-27 23:54:24,不是个人,消极,0.9913423657417297
A1150940925544111104,31:39,2022-09-27 23:54:10,终身免ota,消极,0.8757092356681824
A1150940921743965696,29:14,2022-09-27 23:54:09,懂了，等明年改款,积极,0.8872608542442322
A1150940892392195840,08:33,2022-09-27 23:54:06,林志颖那个是modelx,积极,0.9181841015815735
A1150940863225141504,26:58,2022-09-27 23:54:02,动能回收,积极,0.75730299949646
A1150940850088612096,29:31,2022-09-27 23:54:01,有我也不用，命仔紧要,消极,0.7095130085945129
A1150940855138482176,27:44,2022-09-27 23:54:01,"hahha,吓一跳",消极,0.6937036514282227
A1150940489160271616,27:40,2022-09-27 23:53:18,林志颖：你说得对,积极,0.9663417935371399
A1150940459732922112,08:27,2022-09-27 23:53:14,指哪打哪,消极,0.8111575841903687
A1150940428376475136,04:28,2022-09-27 23:53:10,自燃=没充值,消极,0.9986257553100586
A1150940277792451072,04:22,2022-09-27 23:52:52,MODEL3路上看到感觉没啥质感,消极,0.5365103483200073
A1150940187766215936,00:17,2022-09-27 23:52:42,摩托3,消极,0.6247756481170654
A1150940158799951872,10:18,2022-09-27 23:52:38,会不会说话就体现在这里了,积极,0.882449746131897
A1150940060753949696,20:46,2022-09-27 23:52:26,不止一个坡呀,消极,0.5828887820243835
A1150939958773565184,16:08,2022-09-27 23:52:14,赛道用不了后排,消极,0.834892749786377
A1150939713339767040,31:00,2022-09-27 23:51:45,有本事你再说一遍....hahahahah,消极,0.5616564154624939
A1150939707870319872,10:20,2022-09-27 23:51:44,哈哈哈哈哈，太真实了,积极,0.6268613338470459
A1150939681228304384,33:57,2022-09-27 23:51:41,电池出瑕疵就是没有底线的表现,消极,0.9981220364570618
A1150939636055829760,17:32,2022-09-27 23:51:36,哈哈哈哈哈  觉得这个毛坯好看的家里都是没装修的吧,积极,0.989284098148346
A1150939534822205440,22:22,2022-09-27 23:51:24,特斯拉精神股东真多,积极,0.8894618153572083
A1150939472192603904,34:24,2022-09-27 23:51:16,特斯拉都听不懂几句语音控制，怎么就智能了？,消极,0.8329258561134338
A1150939453720796160,35:10,2022-09-27 23:51:14,上海生产系甘的啦,积极,0.9834803938865662
A1150939408606908928,13:26,2022-09-27 23:51:09,卧室不能有横梁，风水差,消极,0.9628989100456238
A1150939387584933888,16:43,2022-09-27 23:51:06,哈哈哈哈哈,积极,0.8433493375778198
A1150939380815662848,10:45,2022-09-27 23:51:05,希望以后用料多，但设计偏向简洁,积极,0.781160831451416
A1150939157586096640,08:33,2022-09-27 23:50:39,林志颖在病床上默默的点了点头,积极,0.9833373427391052
A1150939134131531776,26:55,2022-09-27 23:50:36,3车身要轻很多,消极,0.910089373588562
A1150939129434025472,10:01,2022-09-27 23:50:35,丹拿,消极,0.650895357131958
A1150938977692381440,24:22,2022-09-27 23:50:17,赞，想去试驾了,积极,0.9976146221160889
A1150938922411803904,19:44,2022-09-27 23:50:11,过滤不好你就说路感，怎么都是外资好呗,消极,0.6599807143211365
A1150938811388218368,36:07,2022-09-27 23:49:58,国产原罪,积极,0.5543450713157654
A1150938787447443456,06:30,2022-09-27 23:49:55,别废话了说车重吧,消极,0.9943931102752686
A1150938709005300736,34:02,2022-09-27 23:49:45,肯定不是批次问题，烧了有刚提车的，也有用一段时间的,消极,0.9678060412406921
A1150938710582339584,33:32,2022-09-27 23:49:45,特斯拉死亡数最多,消极,0.9532008767127991
A1150938610372278016,07:05,2022-09-27 23:49:34,全是对生产商有好处啊！,消极,0.8277592062950134
A1150938597998921984,36:07,2022-09-27 23:49:32,能发声吗,积极,0.5789759159088135
A1150938453345810688,21:55,2022-09-27 23:49:15,这辈子都不去赛道，所以根本不care,消极,0.9974398612976074
A1150938457976116224,20:09,2022-09-27 23:49:15,这样不好，对赛车手不友好,消极,0.9377180337905884
A1150938448136399872,04:54,2022-09-27 23:49:14,就喜欢这种掌握核心技术和产业链的品牌 这种品牌才有未来 才能抗住风雨,积极,0.9989142417907715
A1150938428003612672,32:35,2022-09-27 23:49:12,林志颖没系安全带，怎么开的ap？,消极,0.9312769770622253
A1150938391857496576,23:24,2022-09-27 23:49:08,确实,消极,0.6779924035072327
A1150938358210575360,35:29,2022-09-27 23:49:03,不举,消极,0.9881455898284912
A1150938285036706816,16:04,2022-09-27 23:48:55,出租车,消极,0.935769259929657
A1150938285481169920,05:46,2022-09-27 23:48:55,特斯拉：我们是一家软件公司,积极,0.5041096806526184
A1150938251516039424,35:41,2022-09-27 23:48:51,哈哈哈 抠到极致便是强,积极,0.8760063648223877
A1150938245526307328,29:33,2022-09-27 23:48:50,如果买比亚迪的车，直接选择没有辅助驾驶的版本。,消极,0.9181416034698486
A1150938217063706880,15:39,2022-09-27 23:48:47,不如五菱宏光5,消极,0.9896609783172607
A1150938147589290496,23:00,2022-09-27 23:48:38,这样很好，不会chok,积极,0.8608798980712891
A1150938082057396736,14:23,2022-09-27 23:48:31,外观 平手    内饰吊打 毛豆3,消极,0.8953481316566467
A1150938076814890752,05:03,2022-09-27 23:48:30,丰田、本田表示很赞,积极,0.9956099390983582
A1150938042597617664,14:51,2022-09-27 23:48:26,特斯拉同款,积极,0.8964816331863403
A1150938039175002368,29:34,2022-09-27 23:48:25,有好的，得加钱,消极,0.9583663940429688
A1150937946908597760,23:35,2022-09-27 23:48:14,高情商,积极,0.9141082763671875
A1150937860925699072,09:25,2022-09-27 23:48:04,内饰不错喔,积极,0.9929903745651245
A1150937842319579392,08:57,2022-09-27 23:48:02,顶灯穿帮了,消极,0.9490137696266174
A1150937792055088128,27:30,2022-09-27 23:47:56,后面是比亚迪巴士吗,积极,0.8916970491409302
A1150937745859072256,31:57,2022-09-27 23:47:50,比亚迪：产能不足，只卖给不在车里玩命的正常人,消极,0.8474077582359314
A1150937700979988224,15:37,2022-09-27 23:47:45,讲那么激情，就说你自己买了没有,消极,0.8138931393623352
A1150937653953440512,21:04,2022-09-27 23:47:40,说给的太多了，多数人看这个视频的都不是买主,消极,0.9983354210853577
A1150937656436236288,24:22,2022-09-27 23:47:40,赞同，家用车么，舒适第一,积极,0.9971601963043213
A1150937627420215552,09:42,2022-09-27 23:47:36,装修再怎么拉也比毛坯房要好,积极,0.8332462906837463
A1150937341972571392,26:56,2022-09-27 23:47:02,豪华不重要。用心就够了。不是割韭菜还说未来感,积极,0.9964746832847595
A1150937310431666432,12:46,2022-09-27 23:46:59,logo不是拼音吗,消极,0.8509888648986816
A1150937257130244608,15:50,2022-09-27 23:46:52,我已经下定100部了,积极,0.9740465879440308
A1150937239438886912,16:08,2022-09-27 23:46:50,满满的毛坯感,积极,0.9258508682250977
A1150937223869361152,23:43,2022-09-27 23:46:48,这段评价 也太无脑了,消极,0.9993759989738464
A1150937198980269568,00:42,2022-09-27 23:46:45,芝士海豹,消极,0.5665402412414551
A1150937197118412800,12:38,2022-09-27 23:46:45,点样 打栋啊？,消极,0.870895266532898
A1150937190726263040,21:41,2022-09-27 23:46:44,家用车最高评价就是均衡,积极,0.997345507144928
A1150937169804967424,26:44,2022-09-27 23:46:42,可以对比一下蔚来et5 、问界m5 ev吗？,积极,0.9939581155776978
A1150937152826435584,15:44,2022-09-27 23:46:40,已下单,积极,0.7825110554695129
A1150937111831427584,32:27,2022-09-27 23:46:35,做工差~上海生产,消极,0.9976310729980469
A1150937085121872896,30:26,2022-09-27 23:46:32,但是还是有很多人心甘情愿买特斯拉做韭菜,消极,0.8474634885787964
A1150937071960258560,17:58,2022-09-27 23:46:30,特吹别洗了，毛坯就是毛坯,消极,0.9992586970329285
A1150937044386790912,33:00,2022-09-27 23:46:27,和大疆合作嘛,积极,0.991055965423584
A1150936896512597248,24:09,2022-09-27 23:46:09,有比做别克微蓝，动力真猛，但就是难受，人太紧张。。应该就是这个原因。,消极,0.7645246982574463
A1150936861305256192,36:05,2022-09-27 23:46:05,哈哈哈哈哈哈哈哈 真实,积极,0.7420214414596558
A1150936850014354176,17:31,2022-09-27 23:46:04,中控不会死机,积极,0.9874541759490967
A1150936826308099328,33:55,2022-09-27 23:46:01,特斯拉倒是解释了：车主问题,消极,0.8490515351295471
A1150936774709792256,02:43,2022-09-27 23:45:55,内饰还是不行，元素太多，显得杂乱,消极,0.9856491088867188
A1150936737439178496,32:40,2022-09-27 23:45:50,林志颖没拉安全带？,消极,0.768663763999939
A1150936646221373440,14:45,2022-09-27 23:45:39,这个可以选装天幕，也就是车顶天窗变蓝色。,积极,0.9150591492652893
A1150936586377031680,33:26,2022-09-27 23:45:32,买车就是看你能接受哪个缺点，如此简单,积极,0.8832920789718628
A1150936559323920896,29:58,2022-09-27 23:45:29,终于讲粤语啦大佬,积极,0.9910195469856262
A1150936559726630912,32:41,2022-09-27 23:45:29,车主都嘴硬哈哈,消极,0.7673237919807434
A1150936539753346048,09:51,2022-09-27 23:45:27,？？？？,消极,0.9532257914543152
A1150936440625189376,32:25,2022-09-27 23:45:15,这不是苹果吗,消极,0.9932000041007996
A1150936390687807488,33:14,2022-09-27 23:45:09, 比亚迪是终生免ota的,积极,0.6861259341239929
A1150936385268689408,09:39,2022-09-27 23:45:08,奔驰中枪,消极,0.7731042504310608
A1150936356755896832,22:00,2022-09-27 23:45:05,特斯拉得用喊话,消极,0.9770057201385498
A1150936323880743936,07:21,2022-09-27 23:45:01,电芯是第三方提供！封装基本都是车企自己做！电池包想做什么样看车企！怎么会宁德深入,消极,0.9962009787559509
A1150936246135257088,32:46,2022-09-27 23:44:52,林志颖：我nm。。。,积极,0.6121067404747009
A1150936221212606976,02:35,2022-09-27 23:44:49,尾灯不密恐吗,积极,0.80818772315979
A1150936227545879808,00:15,2022-09-27 23:44:49,又是眯眯眼,消极,0.9424638748168945
A1150936176249687808,19:58,2022-09-27 23:44:43,哈哈哈哈哈哈哈哈哈哈哈哈,积极,0.7042060494422913
A1150936150521774848,18:04,2022-09-27 23:44:40,还有看副驾表演,消极,0.5583332180976868
A1150936133065114624,05:34,2022-09-27 23:44:38,那车架形变不就压到电池了吗？,消极,0.7894331216812134
A1150936093823283968,22:22,2022-09-27 23:44:34,ET5 贵了不是一点了把,消极,0.9903981685638428
A1150936087439566848,23:21,2022-09-27 23:44:33,对，这个确实影响舒适性,积极,0.8614469170570374
A1150936040681351168,10:39,2022-09-27 23:44:27,比亚迪内饰虽然不上镜，但是真正车内体验好到爆,积极,0.9995483756065369
A1150936017352882944,10:12,2022-09-27 23:44:24,特斯拉是把他的简陋包装成简单，说白了就是简陋！！,消极,0.9952902793884277
A1150936015918518016,05:29,2022-09-27 23:44:24,波迪是谁？,消极,0.84031742811203
A1150935999266996736,28:42,2022-09-27 23:44:22,KIWI辅助驾驶可不简单,积极,0.9734602570533752
A1150935961937644800,17:15,2022-09-27 23:44:18,感觉和几万块的北汽电动车一样,消极,0.9590104222297668
A1150935905230504448,34:17,2022-09-27 23:44:11,召回一般人根本不知道都在压热度,消极,0.9960570335388184
A1150935869965127168,09:08,2022-09-27 23:44:07,哈哈哈哈哈哈哈哈哈，露馅,消极,0.5399876236915588
A1150935841233964288,24:12,2022-09-27 23:44:03,确实,消极,0.6779924035072327
A1150935836217604608,33:08,2022-09-27 23:44:03,各有各的风格吧，都能接受,积极,0.9903690218925476
A1150935650543989760,24:07,2022-09-27 23:43:41,说得对，点赞,积极,0.9367554187774658
A1150935593434251520,33:03,2022-09-27 23:43:34,比亚迪联合华为就无敌了,消极,0.6044409275054932
A1150935577823151872,28:44,2022-09-27 23:43:32,哈哈哈哈哈,积极,0.8433493375778198
A1150935569560602880,04:52,2022-09-27 23:43:31,比亚迪：准车主别急，在挖矿了，刚买的矿！,积极,0.6795797944068909
A1150935462949421824,30:36,2022-09-27 23:43:18,无脑冲海豹,消极,0.9986461997032166
A1150935387175368960,02:50,2022-09-27 23:43:09,同感,积极,0.6088536381721497
A1150935343907005184,19:53,2022-09-27 23:43:04,高情商：路感好，低情商：悬挂硬,消极,0.9911983609199524
A1150935333739870464,16:11,2022-09-27 23:43:03,哈哈哈哈哈哈,积极,0.8174870014190674
A1150935313749817600,13:58,2022-09-27 23:43:01,m3后排就是蹲监狱，有车的都知道,消极,0.9928172826766968
A1150935306359493888,33:40,2022-09-27 23:43:00,终于有大车评人说自然问题了,积极,0.8874552845954895
A1150935251993000448,13:03,2022-09-27 23:42:53,唯一缺点是没有空调实体按键,积极,0.9167231321334839
A1150935230870316544,29:27,2022-09-27 23:42:51,等电池消耗一半就能ota到了,积极,0.9579324722290039
A1150935151463663872,12:38,2022-09-27 23:42:41,中文有档次,积极,0.993066668510437
A1150935074439452672,24:28,2022-09-27 23:42:32,加速度不会突然出现。  给你身体一个反应时间。  这样就不会晕车。,积极,0.995033860206604
A1150935046136430848,30:59,2022-09-27 23:42:29,辅助驾驶再差，还是选海豹,消极,0.6263233423233032
A1150935043896740608,24:05,2022-09-27 23:42:28,充值怪你来了～人家说的那里不对你指出来就好了嘛,消极,0.9938488602638245
A1150934958156993792,23:50,2022-09-27 23:42:18,确实,消极,0.6779924035072327
A1150934952460962560,10:42,2022-09-27 23:42:17,多不一定好，但是什么都没有就一定不好啦,积极,0.7256386876106262
A1150934935692145664,08:55,2022-09-27 23:42:15,还好林志颖开的不是比亚迪,积极,0.9965453743934631
A1150934892314370560,12:15,2022-09-27 23:42:10,嫌弃的建议日系车，那个内饰设计感拉满,消极,0.9365202784538269
A1150934841731117312,27:30,2022-09-27 23:42:04,你开tsl快点过这个，我怕你会死,积极,0.5606383085250854
A1150934822034637312,00:08,2022-09-27 23:42:02,芝士雪豹,积极,0.5151433944702148
A1150934820877233920,00:40,2022-09-27 23:42:02,啥简洁啊，就是简陋,消极,0.9954267740249634
A1150934717814835712,12:00,2022-09-27 23:41:50,特斯拉造成这样至少要卖35万,消极,0.9932905435562134
A1150934660705216768,23:24,2022-09-27 23:41:43,这就很聪明了，好车的加减速很舒服，完全不会让人晕车者,积极,0.9844241738319397
A1150934650773027072,25:52,2022-09-27 23:41:42,我的汉DMI高速电耗也才16度/百公里,消极,0.5014805197715759
A1150934612537660160,12:07,2022-09-27 23:41:37,已经有酸狗坐不住了,消极,0.9799750447273254
A1150934592816211200,22:42,2022-09-27 23:41:35,极氪2022的深圳牌送一张，加地区补贴和国补，可以27+落地,积极,0.9979571104049683
A1150934587279603968,28:20,2022-09-27 23:41:34,比亚迪还是找大疆做辅助吧,积极,0.9040422439575195
A1150934533768748032,26:54,2022-09-27 23:41:28,这不豪华，特斯拉豪华？,消极,0.9842631220817566
A1150934458044880640,23:33,2022-09-27 23:41:19,这是防晕车的。,积极,0.8600016832351685
A1150934458069846784,09:32,2022-09-27 23:41:19,用力,消极,0.8323310613632202
A1150934450184530944,09:46,2022-09-27 23:41:18,内饰老三样,消极,0.9984715580940247
A1150934381339269888,27:22,2022-09-27 23:41:09,你是没坐过特斯拉，换特斯拉后排当场去世,消极,0.9861499071121216
A1150934367271606528,11:51,2022-09-27 23:41:08,疯狂堆料,消极,0.9685738682746887
A1150934226862946816,06:06,2022-09-27 23:40:51,自燃的奥秘？,消极,0.6893657445907593
A1150934212233228544,10:57,2022-09-27 23:40:49,你米话，我真喜欢坐姿高，有安全感，可能我矮吧,积极,0.9244757890701294
A1150934200598299136,00:29,2022-09-27 23:40:48,自己的领域，那就对了，,积极,0.9916774034500122
A1150934192763311104,25:28,2022-09-27 23:40:47,特斯拉的续航全靠激进的能量回收,消极,0.993899941444397
A1150934135486011648,11:10,2022-09-27 23:40:40,粤语英语国语,积极,0.8601059317588806
A1150934125251964928,06:57,2022-09-27 23:40:39,车身更加坚固，更加安全，你说有没有关系？,积极,0.9867189526557922
A1150934091588378112,02:49,2022-09-27 23:40:35,我就不喜欢隐藏把手,消极,0.8097863793373108
A1150934002526686464,25:50,2022-09-27 23:40:24,海豹把内饰搞成毛坯，电耗超越毛豆3,消极,0.9988283514976501
A1150933879062888448,17:47,2022-09-27 23:40:10,标致：？,积极,0.9511156678199768
A1150933844460179456,22:02,2022-09-27 23:40:05,特芬说话！,积极,0.668912947177887
A1150933640214056960,06:29,2022-09-27 23:39:41,坏了换啊,消极,0.9928955435752869
A1150933613890594560,03:55,2022-09-27 23:39:38,低情商：不换代。高情商：顶级设计不用换。,积极,0.848835825920105
A1150933587995252480,22:18,2022-09-27 23:39:35,欸，就是想和et5 比，凭什么蔚来卖40万？,消极,0.972475528717041
A1150933566990176256,28:12,2022-09-27 23:39:32,老汽车厂通病了属于是,消极,0.9980250597000122
A1150933524174617856,08:34,2022-09-27 23:39:27,林志颖：别说了,消极,0.9594411849975586
A1150933502775187968,08:29,2022-09-27 23:39:25,后尾箱离谱啊,消极,0.9978322386741638
A1150933501189731840,10:16,2022-09-27 23:39:24,一开始好看 但蓝色的配色掉价了,消极,0.6972039341926575
A1150933482349104640,00:54,2022-09-27 23:39:22,穿钩子鞋?,消极,0.9863212704658508
A1150933468767598592,31:15,2022-09-27 23:39:21,现在搞不好就先不搞咯 等以后的成熟方案嘛,积极,0.8880886435508728
A1150933424501168128,16:41,2022-09-27 23:39:15,这能叫内饰？也就五菱宏光水平,消极,0.9976456761360168
A1150933412471641856,09:24,2022-09-27 23:39:14,前面铀能量密度高的，有没有常识？,消极,0.9163006544113159
A1150933399779702784,16:43,2022-09-27 23:39:12,伊，咩来滴，好核突啊,消极,0.7474671602249146
A1150933347015449344,09:38,2022-09-27 23:39:06,老年设计师,消极,0.6325892210006714
A1150933315633643520,10:16,2022-09-27 23:39:02,一开始是好看的 但那个蓝色就有单,消极,0.6487572193145752
A1150933269832030464,04:21,2022-09-27 23:38:57,经济不好，都去开网约车了。。。,消极,0.9729877710342407
A1150933260881195776,15:17,2022-09-27 23:38:56,广东人表示...一年四季都是夏天不敢说，但是至少三季夏天。,积极,0.8917407393455505
A1150933229541442816,10:08,2022-09-27 23:38:52,这叫内饰？,消极,0.9982977509498596
A1150933202723055360,20:43,2022-09-27 23:38:49,极氪跳动最多两下,消极,0.9579876065254211
A1150933139095773440,28:45,2022-09-27 23:38:41,蛇皮走位,消极,0.9966779947280884
A1150933113694654976,10:16,2022-09-27 23:38:38,设计好又设计过度 真难伺候,消极,0.9848954677581787
A1150933111698551040,09:07,2022-09-27 23:38:38,这仪表屏真的不忍吐槽,消极,0.9993624091148376
A1150933067129839104,25:57,2022-09-27 23:38:33,特斯拉车主不敢开暖气。。。,消极,0.995840311050415
A1150933041158495744,26:07,2022-09-27 23:38:30,8：13？？？你真的在夸？,消极,0.9773738384246826
A1150933008585464320,20:38,2022-09-27 23:38:26,速度啊，，不看速度多快硬喊悬空。。。,消极,0.8799059391021729
A1150932886279496192,07:00,2022-09-27 23:38:11,电池换了，换车架,消极,0.5458167195320129
A1150932855946537216,09:44,2022-09-27 23:38:08,比亚迪内饰确实是请的奔驰内饰设计师,消极,0.8653202056884766
A1150932849881377792,17:50,2022-09-27 23:38:07,没有仪表盘 真的难受,消极,0.9837473034858704
A1150932805287535872,05:01,2022-09-27 23:38:02,特斯拉全买的零部件,消极,0.9613193273544312
A1150932758084984832,04:20,2022-09-27 23:37:56,套娃,积极,0.8903566002845764
A1150932713541288192,21:16,2022-09-27 23:37:51,赛车场快的车，日常驾驶必然不舒服,消极,0.9445381760597229
A1150932683526903808,24:41,2022-09-27 23:37:47,这么高的马力最高车速不会破不了200吧,积极,0.8498516082763672
A1150932619580455168,09:35,2022-09-27 23:37:39,因为内饰设计师就是奔驰的,积极,0.9726058840751648
A1150932398893106688,13:00,2022-09-27 23:37:13,丹拿很拉？看看你的,消极,0.9916868805885315
A1150932381687899648,15:34,2022-09-27 23:37:11,有兴趣的人去试驾试乘，聪哥有自己的个人感受，唔一定岩你,积极,0.9957835674285889
A1150932372896706816,32:06,2022-09-27 23:37:10,学特斯拉就死硬啦,消极,0.8993088603019714
A1150932362981673984,08:16,2022-09-27 23:37:09,林志颖：这车非常好,积极,0.9984142780303955
A1150932347563442688,02:37,2022-09-27 23:37:07,跳出了比亚迪的传统设计,积极,0.9526115655899048
A1150932341112191232,15:29,2022-09-27 23:37:06,去试驾过，没有想象晒，真的爽,积极,0.9983720183372498
A1150932296309036544,24:12,2022-09-27 23:37:01,在理,消极,0.7298640012741089
A1150932286267607552,11:09,2022-09-27 23:37:00,把标换成特斯垃，不得吹上天了,消极,0.9844302535057068
A1150932273642610176,22:24,2022-09-27 23:36:58,海豹有一万个优点，特斯拉有一万个缺点，但有些人总是双标。。。,积极,0.6298434138298035
A1150932235365815808,07:02,2022-09-27 23:36:54,碰撞到电池报废，你人也报废了吧,消极,0.9981435537338257
A1150932221515919616,14:23,2022-09-27 23:36:52,后排就不用比了，做在特斯拉后面就是犯罪，还去比什么。,消极,0.8556143045425415
A1150932170362515200,13:59,2022-09-27 23:36:46,全景天幕晒柒死人,消极,0.862387478351593
A1150931914962540800,05:21,2022-09-27 23:36:15,比亚迪有军工，不方便曝光而已,积极,0.879795491695404
A1150931894729579520,08:24,2022-09-27 23:36:13,这接缝....,消极,0.9983785152435303
A1150931827763241728,04:10,2022-09-27 23:36:05,自燃可比不上特斯拉,消极,0.9986252784729004
A1150931821345761024,04:17,2022-09-27 23:36:04,海豹矮一点,消极,0.5818735957145691
A1150931803008368640,18:53,2022-09-27 23:36:02,比亚迪的水军是真的掏钱买车的哦,消极,0.992258608341217
A1150931787095129088,10:30,2022-09-27 23:36:00,毛坯=高级，简约，哈哈哈,积极,0.9986672401428223
A1150931773572721152,21:25,2022-09-27 23:35:59,这句话说对了，家用不需要赛道,积极,0.978909432888031
A1150931778723221760,04:44,2022-09-27 23:35:59,收特斯拉钱了,消极,0.8042973875999451
A1150931676650918144,32:02,2022-09-27 23:35:47,真的无所谓，我是落后型司机,消极,0.9981232285499573
A1150931652365943808,33:52,2022-09-27 23:35:44,人为点燃笑死我了,积极,0.9333580732345581
A1150931653548551168,31:05,2022-09-27 23:35:44,加钱你又不买,消极,0.9950850605964661
A1150931590273361152,18:18,2022-09-27 23:35:37,质感挺好的，就是设计还是用力了点,积极,0.865576446056366
A1150931572313554432,20:44,2022-09-27 23:35:35,后轮？那是人家有信心开得更快不行？,积极,0.5232113599777222
A1150931559419818240,20:59,2022-09-27 23:35:33,这路你开啥都飞,消极,0.9798257946968079
A1150931477991704320,04:59,2022-09-27 23:35:23,芯片？你不知道比亚迪也做芯片吗,积极,0.6667708158493042
A1150931437911111680,21:17,2022-09-27 23:35:19,公路过弯开啥车都会条件反射降速,积极,0.6102004051208496
A1150931423079891200,24:06,2022-09-27 23:35:17,发瘟脚适合发瘟人,消极,0.9916718602180481
A1150931352926034176,11:09,2022-09-27 23:35:08,说的太对了 汉就是这样 想换个海豹了,积极,0.742375910282135
A1150931335569913344,09:27,2022-09-27 23:35:06,“用力”,消极,0.8576212525367737
A1150931256691808512,02:50,2022-09-27 23:34:57,我也是，感觉完全多余的,消极,0.9986074566841125
A1150931222239931392,17:51,2022-09-27 23:34:53,标致,积极,0.8930334448814392
A1150931196738486272,16:26,2022-09-27 23:34:50,这不是高尔夫的后排吗？,消极,0.986156702041626
A1150931171539301376,17:40,2022-09-27 23:34:47,成本上极减,消极,0.8778975605964661
A1150931155181285632,22:57,2022-09-27 23:34:45,嘴上夸，手上贬。。。哈哈哈哈,积极,0.8482701778411865
